file,track,section_id,measure,absolute_start_tick,absolute_end_tick,meter,tempo,status,intended_chord,intended_lick,text,alignment_status
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,from 4,3,25945920,37477440,4/4,120,sounding,Cmaj9,from 4,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,from 4,4,37477440,49008960,4/4,120,sounding,Cmaj9,from 4,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,from 4,5,49008960,60540480,4/4,120,sounding,Cmaj9,from 4,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,from 4,6,60540480,72072000,4/4,120,sounding,Cmaj9,from 4,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,from 4,7,72072000,83603520,4/4,120,sounding,Cmaj9,from 4,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,from 3,8,83603520,95135040,4/4,120,sounding,Cmaj9,from 3,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,separator,9,95135040,106666560,4/4,120,rest/empty,unresolved/none,none,,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,from 2,10,106666560,118198080,4/4,120,sounding,Cmaj9,from 2,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,from 2,11,118198080,129729600,4/4,120,sounding,Cmaj9,from 2,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,ALL TOGETHER,12,129729600,141261120,4/4,120,sounding,Cmaj9,ALL TOGETHER,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,ALL TOGETHER,13,141261120,152792640,4/4,120,sounding,Cmaj9,ALL TOGETHER,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,ALL TOGETHER,14,152792640,164324160,4/4,120,sounding,Cmaj9,ALL TOGETHER,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,ALL TOGETHER,15,164324160,175855680,4/4,120,sounding,Cmaj9,ALL TOGETHER,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
BH-5432-Harmonic-Atlas.tg,Neutral Backing - C MAJOR TRIAD,ALL TOGETHER,16,175855680,187387200,4/4,120,sounding,Cmaj9,ALL TOGETHER,Neutral canonical-C context | C major triad | no added 6/7/9,aligned
